,"Layoffs and Discharges: Total nonfarm - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1 to 9 employees)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (10 to 49 employees)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (50 to 249 employees)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (250 to 999 employees)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1,000 to 4,999 employees)","Layoffs and Discharges: Total private - Rate in Percent, Monthly, Seasonally Adjusted (5,000 or more employees)","Layoffs and Discharges: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Trade, transportation, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Wholesale trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Transportation, warehousing, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Layoffs and Discharges: State and local government, excluding education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)"
0,1.5,1.7,0.8,1.7,2.4,1.6,1.2,0.7,2.0,4.3,1.2,1.1,1.5,1.7,1.6,2.2,0.4,0.8,0.4,0.5,0.2,2.8,0.8,0.7,0.8,2.0,4.8,1.4,0.8,0.5,0.3,0.6,0.5,0.7
1,1.7,1.9,1.3,1.8,2.2,1.8,2.5,0.6,1.6,3.9,1.4,1.4,1.4,1.9,1.2,2.4,1.1,1.2,0.9,1.0,0.8,3.4,0.8,1.0,0.8,2.1,5.1,1.6,1.2,0.5,0.3,0.5,0.4,0.6
2,1.4,1.6,0.4,1.9,1.9,1.6,1.0,1.0,0.9,4.3,1.4,1.4,1.5,1.1,1.4,1.1,0.8,1.2,0.8,0.5,1.6,2.8,0.8,0.8,0.8,1.7,3.9,1.3,0.5,0.5,0.2,0.5,0.5,0.6
3,1.6,1.8,1.3,2.2,2.0,1.8,1.3,1.0,1.4,4.5,1.6,1.6,1.7,1.3,0.8,1.6,0.8,0.6,0.5,0.4,1.0,2.7,0.8,1.2,0.7,2.9,4.2,2.7,2.3,0.5,0.4,0.5,0.4,0.6
4,1.4,1.6,1.8,1.7,1.6,1.6,1.2,0.8,1.3,3.0,1.8,1.8,1.7,1.5,1.3,1.7,1.4,1.5,1.2,1.1,1.5,1.7,0.7,1.2,0.6,2.3,2.9,2.2,1.4,0.4,0.3,0.5,0.3,0.6
5,1.5,1.7,2.1,1.8,1.8,1.5,1.5,0.5,1.7,4.1,1.8,1.7,2.0,1.6,1.3,1.8,1.2,1.3,0.7,0.7,0.9,2.5,0.7,0.7,0.7,2.1,3.5,1.8,0.6,0.5,0.3,0.5,0.4,0.5
6,1.5,1.7,1.3,1.8,2.3,1.4,1.2,1.1,1.9,3.9,1.8,1.7,2.1,1.6,1.1,1.9,1.2,1.4,0.6,0.5,1.0,2.5,0.7,0.6,0.7,2.1,3.5,1.8,1.1,0.4,0.2,0.4,0.4,0.5
7,1.5,1.8,0.6,1.7,2.5,2.0,1.2,0.7,1.8,3.1,1.8,1.6,2.1,1.7,1.3,1.9,1.4,1.3,0.6,0.7,0.4,2.5,0.9,1.1,0.8,2.6,6.1,2.0,1.0,0.4,0.3,0.4,0.3,0.5
8,1.5,1.7,1.6,1.5,2.1,1.9,1.2,0.8,1.4,3.7,1.7,1.4,2.2,1.5,1.2,1.7,1.0,1.3,0.6,0.5,0.9,2.7,0.8,1.2,0.8,2.1,4.9,1.6,1.0,0.5,0.2,0.6,0.4,0.8
9,1.6,1.8,1.6,1.7,2.2,2.0,1.1,1.1,1.6,3.9,1.6,1.4,1.9,1.9,1.2,2.3,1.4,1.6,0.9,0.7,1.4,2.4,0.7,0.7,0.7,2.7,5.2,2.2,0.9,0.4,0.3,0.4,0.3,0.5
10,1.8,2.0,1.6,2.2,2.4,1.9,1.5,1.0,1.8,4.0,2.0,2.1,1.9,1.8,1.5,2.0,1.4,1.6,1.0,0.8,1.7,2.7,1.2,1.5,1.2,2.7,5.6,2.2,1.1,0.5,0.6,0.4,0.3,0.6
11,1.7,2.0,1.8,2.2,2.3,2.1,1.0,0.9,2.5,4.3,1.8,1.7,1.9,1.8,1.3,1.8,2.2,1.8,1.0,0.7,1.8,2.5,0.9,1.1,0.9,3.2,5.0,2.9,1.0,0.3,0.2,0.4,0.3,0.4
12,1.5,1.7,1.7,1.8,1.9,1.5,1.1,0.9,1.7,4.2,1.7,1.6,1.9,1.5,1.1,1.8,1.1,1.5,0.9,0.6,1.6,2.1,0.6,0.6,0.7,2.4,3.7,2.2,0.7,0.4,0.3,0.4,0.3,0.5
13,1.5,1.7,1.5,1.8,1.9,1.7,1.1,0.8,1.3,3.6,1.7,1.6,1.8,1.6,1.1,1.9,1.3,1.5,0.8,0.7,1.1,2.2,1.0,1.2,1.0,1.7,3.1,1.5,1.1,0.4,0.4,0.4,0.3,0.5
14,1.5,1.7,1.8,1.7,2.0,1.7,1.1,0.7,1.3,4.0,1.6,1.5,1.8,1.7,1.3,1.8,1.9,0.9,1.0,0.9,1.2,2.2,0.9,0.8,0.9,2.2,3.4,2.0,0.9,0.4,0.3,0.5,0.3,0.6
15,1.4,1.6,1.1,1.7,2.0,1.6,1.4,0.7,2.1,3.8,1.4,1.6,1.2,1.7,1.3,1.9,1.7,1.2,0.8,0.6,1.1,2.2,0.9,0.6,0.9,1.9,3.5,1.6,0.9,0.4,0.4,0.4,0.4,0.5
16,1.5,1.7,1.7,1.7,2.0,1.7,1.1,0.6,2.1,3.9,1.5,1.5,1.5,1.5,1.0,1.6,1.5,1.8,0.9,0.8,1.1,2.2,0.9,0.9,0.9,2.4,5.2,1.9,1.2,0.5,0.4,0.5,0.4,0.6
17,1.5,1.7,1.3,1.8,2.2,1.7,0.9,0.8,1.5,4.1,1.5,1.5,1.6,1.7,1.3,2.2,0.8,1.3,1.2,1.0,1.5,2.0,0.8,0.8,0.8,2.2,2.4,2.1,1.2,0.5,0.3,0.5,0.4,0.5
18,1.5,1.8,2.4,1.8,2.0,1.5,1.0,0.6,1.5,4.4,1.4,1.4,1.5,1.6,1.2,1.8,1.5,1.4,1.3,1.2,1.5,2.1,0.9,0.6,0.9,2.3,3.5,2.1,1.6,0.4,0.3,0.4,0.5,0.4
19,1.6,1.8,1.7,1.9,2.1,1.7,1.1,0.9,2.8,4.6,1.4,1.3,1.5,1.7,1.2,2.1,1.1,1.3,0.9,0.7,1.4,2.5,0.8,0.7,0.8,2.4,3.4,2.2,1.2,0.6,0.3,0.7,0.5,0.9
20,1.5,1.7,0.8,1.9,2.1,1.7,0.8,0.7,1.8,3.6,1.4,1.4,1.4,1.8,1.2,2.0,1.8,1.2,1.0,0.7,1.7,1.8,0.8,0.6,0.9,2.4,4.8,2.0,1.3,0.5,0.3,0.5,0.5,0.5
21,1.5,1.7,1.6,1.8,2.2,1.6,1.0,0.6,1.2,4.2,1.5,1.5,1.5,1.8,1.3,2.1,1.6,1.1,0.9,0.7,1.4,2.3,0.9,1.4,0.8,2.0,3.2,1.7,1.3,0.6,0.4,0.6,0.6,0.6
22,1.5,1.7,1.6,1.8,2.0,1.7,0.9,0.5,1.3,4.5,1.5,1.6,1.5,1.7,0.8,2.1,1.1,1.2,0.6,0.5,1.0,2.2,0.8,0.5,0.9,2.0,2.6,1.9,1.0,0.5,0.3,0.5,0.5,0.5
23,1.5,1.7,1.7,1.8,1.9,1.6,1.0,0.6,1.2,3.8,1.4,1.3,1.6,1.6,1.1,2.0,1.3,1.4,0.9,0.8,1.2,2.1,0.7,0.2,0.9,2.6,5.1,2.1,0.9,0.5,0.5,0.5,0.5,0.5
24,1.5,1.8,1.6,2.0,2.0,1.8,1.0,0.6,1.2,3.9,1.6,1.5,1.7,1.5,1.2,1.8,1.1,1.1,0.9,0.8,1.2,2.5,0.9,1.2,0.9,2.4,5.3,1.9,1.4,0.4,0.3,0.4,0.3,0.5
25,1.6,1.8,1.5,2.0,2.1,1.9,1.1,0.7,1.6,4.3,1.5,1.5,1.6,1.8,1.5,2.1,1.4,1.3,1.1,0.7,2.3,2.3,0.9,0.8,0.9,2.4,5.3,1.9,1.5,0.5,0.3,0.5,0.4,0.6
26,1.5,1.7,1.8,1.8,2.1,1.7,1.1,0.5,1.8,3.8,1.5,1.6,1.4,1.6,0.9,2.0,1.2,1.5,0.7,0.6,0.7,2.5,0.9,1.1,0.8,2.4,5.4,1.9,1.5,0.6,0.4,0.6,0.5,0.7
27,1.5,1.7,1.7,1.8,1.8,1.9,1.0,0.5,1.7,4.1,1.5,1.3,1.7,1.6,1.0,2.0,1.2,1.4,0.9,0.7,1.6,1.9,0.8,0.7,0.8,2.5,5.5,1.9,1.4,0.5,0.3,0.5,0.5,0.6
28,1.5,1.7,1.3,1.9,2.1,1.9,0.9,0.5,0.9,4.4,1.5,1.4,1.6,1.6,1.1,1.9,1.1,1.1,0.6,0.5,0.8,2.3,0.9,0.8,0.9,2.5,6.0,1.9,1.2,0.5,0.2,0.6,0.4,0.7
29,1.6,1.8,1.8,1.8,2.1,1.8,1.1,0.5,1.7,4.0,1.3,1.4,1.1,1.3,1.2,1.4,1.2,1.5,0.8,0.6,1.6,2.5,1.0,1.2,0.9,3.3,6.7,2.7,1.4,0.6,0.5,0.6,0.5,0.7
30,1.6,1.8,1.8,1.8,2.1,1.8,1.1,0.6,2.5,3.9,1.5,1.5,1.4,1.9,1.2,2.1,1.9,1.5,0.8,0.6,1.4,2.3,1.0,1.5,0.9,2.1,3.2,1.9,1.7,0.5,0.3,0.6,0.4,0.7
31,1.6,1.8,2.0,2.0,1.9,1.7,1.1,0.7,1.7,4.4,1.6,1.6,1.7,1.5,1.3,1.7,1.4,1.3,1.0,0.8,1.7,2.4,1.0,1.4,1.0,2.2,5.0,1.7,1.7,0.5,0.4,0.5,0.5,0.6
32,1.7,1.9,1.6,2.1,2.2,1.8,1.2,0.7,2.0,5.1,1.3,1.4,1.1,1.7,1.2,2.0,1.4,1.3,0.7,0.5,1.3,2.6,1.0,1.5,0.9,2.6,4.7,2.2,1.1,0.6,0.4,0.6,0.5,0.6
33,1.5,1.7,1.1,2.0,1.9,1.8,1.0,0.6,1.5,4.0,1.3,1.2,1.4,1.3,1.2,1.5,1.1,1.4,0.8,0.7,1.2,2.2,0.9,0.6,1.0,2.9,4.8,2.5,1.2,0.5,0.4,0.5,0.4,0.6
34,1.5,1.7,1.7,1.7,2.0,1.7,1.1,0.5,1.4,4.1,1.2,1.2,1.3,1.6,1.0,1.9,1.6,1.2,0.7,0.6,0.9,2.3,0.9,1.4,0.9,2.4,4.4,2.0,1.5,0.4,0.7,0.4,0.2,0.6
35,1.5,1.7,1.4,1.8,2.1,1.6,1.0,0.6,1.0,4.2,1.2,1.2,1.2,1.6,0.6,2.0,1.3,1.0,0.7,0.6,1.1,2.2,0.8,0.9,0.8,2.4,4.7,2.0,1.7,0.5,0.6,0.5,0.3,0.6
36,1.5,1.7,1.7,1.9,2.0,1.7,1.0,0.6,2.0,3.4,1.2,1.2,1.1,1.8,1.2,2.0,1.6,1.4,0.7,0.5,1.2,2.5,0.6,0.9,0.5,2.7,4.9,2.4,1.8,0.5,0.2,0.5,0.5,0.6
37,1.6,1.8,1.7,1.9,2.0,1.6,1.1,1.0,1.9,3.8,1.2,1.1,1.3,1.6,1.2,1.8,1.5,1.0,0.9,0.5,1.9,2.9,0.8,0.9,0.7,2.7,4.7,2.4,0.8,0.5,0.2,0.6,0.5,0.6
38,1.5,1.7,1.4,2.0,2.0,1.8,0.9,0.6,1.9,4.2,1.3,1.2,1.5,1.8,1.3,2.1,1.4,1.1,0.6,0.5,0.8,2.0,1.0,1.1,0.9,2.5,4.9,2.1,1.1,0.5,0.5,0.5,0.5,0.5
39,1.6,1.8,1.8,1.9,2.1,1.5,0.9,0.6,1.0,4.2,1.2,1.2,1.2,1.8,1.4,2.0,1.8,1.3,0.8,0.5,1.8,2.2,0.9,1.3,0.8,2.8,4.6,2.5,1.0,0.6,0.4,0.6,0.5,0.8
40,1.5,1.7,1.4,2.0,1.9,1.9,1.0,0.5,1.1,3.5,1.1,0.8,1.4,1.9,1.5,2.2,1.4,1.0,0.6,0.4,1.3,2.5,0.8,0.7,0.8,2.7,5.3,2.3,1.5,0.5,0.3,0.5,0.5,0.4
41,1.5,1.6,1.5,1.9,1.9,1.5,0.9,0.7,1.7,3.6,1.1,1.0,1.4,1.6,1.1,1.8,1.9,1.2,0.6,0.4,0.9,2.4,0.8,0.8,0.8,2.3,4.6,2.0,1.3,0.5,0.5,0.5,0.4,0.5
42,1.4,1.6,1.4,1.9,1.7,1.6,1.0,0.6,1.1,3.6,1.1,1.2,0.9,1.4,1.2,1.5,1.4,1.4,0.9,0.6,1.7,2.2,0.8,1.0,0.8,2.7,5.7,2.2,0.9,0.5,0.8,0.5,0.4,0.5
43,1.4,1.6,1.2,1.6,2.0,1.7,1.0,0.5,1.1,3.5,1.2,1.1,1.2,1.7,1.0,1.9,1.7,0.8,0.6,0.5,0.8,2.0,0.6,0.7,0.6,2.8,5.5,2.3,1.4,0.5,0.4,0.5,0.5,0.6
44,1.5,1.7,1.5,1.9,1.9,1.6,1.0,0.6,1.2,3.7,1.4,1.5,1.2,1.4,1.5,1.3,1.6,0.8,1.1,1.0,1.5,2.3,0.8,0.9,0.8,2.7,5.1,2.3,1.5,0.5,0.5,0.5,0.5,0.5
45,1.5,1.7,1.8,2.0,1.8,1.6,1.0,0.6,1.5,3.3,1.3,1.3,1.2,1.5,1.0,1.7,1.6,1.6,0.9,0.6,1.6,2.4,1.1,1.5,1.1,2.4,5.5,1.9,1.4,0.5,0.5,0.6,0.5,0.6
46,1.4,1.6,1.3,2.1,1.6,1.6,1.0,0.6,1.5,3.6,1.2,1.2,1.3,1.6,1.1,1.8,1.5,1.0,0.9,0.6,1.6,2.0,0.7,0.7,0.7,2.6,4.6,2.3,1.0,0.6,0.5,0.6,0.5,0.6
47,1.5,1.7,1.7,1.8,1.8,1.9,1.1,0.6,1.6,3.6,1.2,1.3,1.1,1.6,1.0,1.9,1.4,0.6,0.9,0.8,1.3,2.5,0.9,1.1,0.9,2.3,3.8,2.0,1.6,0.6,0.4,0.7,0.7,0.7
48,1.5,1.6,1.7,1.7,1.8,1.7,1.0,0.7,1.1,3.6,1.2,1.2,1.1,1.8,0.8,2.1,1.7,0.6,1.0,0.7,2.0,2.2,0.8,0.8,0.8,2.0,4.0,1.7,1.3,0.6,0.9,0.6,0.5,0.7
49,1.5,1.7,1.7,1.9,2.0,1.7,0.9,0.5,1.2,3.9,1.2,1.3,1.1,1.6,1.1,1.8,1.2,0.8,1.0,0.8,1.8,2.3,0.8,0.8,0.8,2.5,4.1,2.2,1.6,0.5,0.5,0.5,0.5,0.5
50,1.6,1.8,1.9,1.9,1.9,1.8,0.9,0.6,1.0,3.8,1.0,1.1,1.0,1.7,1.1,1.8,1.9,0.5,1.3,0.7,3.2,2.5,1.0,0.9,1.0,2.4,4.6,2.0,1.5,0.5,0.6,0.5,0.5,0.6
51,1.6,1.9,2.1,2.1,1.9,1.9,1.0,0.8,1.3,3.2,1.1,1.1,1.1,2.0,0.9,2.5,1.5,0.9,1.0,0.7,1.7,2.5,1.0,1.1,1.0,3.0,4.2,2.8,1.8,0.5,0.5,0.5,0.4,0.6
52,1.5,1.6,1.7,1.9,1.8,1.6,0.9,1.0,1.1,3.3,1.2,1.2,1.1,1.6,1.1,1.7,1.8,0.7,1.2,1.0,1.9,2.4,0.9,1.2,0.9,2.0,3.3,1.8,1.1,0.5,0.7,0.5,0.6,0.5
53,1.5,1.7,1.7,1.8,1.9,1.8,1.0,0.7,0.9,3.5,1.1,1.2,1.0,1.7,1.4,1.8,1.6,0.9,0.9,0.7,1.7,2.4,0.8,1.0,0.8,2.3,3.9,2.0,2.2,0.5,0.6,0.5,0.4,0.6
54,1.5,1.7,1.4,2.1,1.8,1.7,0.9,0.8,1.3,3.5,1.1,1.0,1.1,1.7,1.0,1.9,2.0,0.7,0.4,0.4,0.5,2.7,0.8,0.8,0.8,2.8,6.0,2.2,0.8,0.5,0.6,0.5,0.5,0.5
55,1.4,1.6,1.8,1.4,1.9,1.7,1.0,1.2,1.2,2.8,1.0,1.0,1.1,1.6,1.0,1.9,1.5,1.3,0.6,0.5,1.0,2.8,0.7,0.9,0.6,2.1,2.9,1.9,1.0,0.4,0.5,0.4,0.4,0.5
56,1.4,1.6,1.9,1.6,1.6,1.8,1.0,0.9,1.0,3.4,1.2,1.2,1.2,1.4,0.9,1.6,1.3,1.2,0.6,0.7,0.6,2.3,0.8,0.7,0.8,2.3,4.2,2.0,1.3,0.5,0.5,0.5,0.5,0.6
57,1.5,1.7,1.6,2.0,1.9,1.6,1.0,0.7,1.5,3.5,1.1,0.9,1.5,1.9,0.6,2.4,1.8,1.0,0.8,0.5,1.7,2.2,0.9,1.4,0.8,2.5,4.4,2.1,1.1,0.6,0.4,0.6,0.6,0.5
58,1.4,1.6,1.7,1.5,1.9,1.5,0.8,1.0,1.4,2.8,0.9,0.9,0.9,1.5,1.1,1.6,1.6,0.9,1.0,0.6,2.0,2.5,0.9,1.2,0.8,2.1,3.8,1.8,1.2,0.5,0.4,0.5,0.4,0.6
59,1.3,1.5,1.5,1.6,1.5,1.6,0.9,0.7,1.0,2.8,1.1,0.9,1.4,1.6,1.3,1.5,2.0,1.4,0.8,0.5,1.5,1.9,0.8,1.1,0.8,2.1,4.0,1.7,0.9,0.5,0.5,0.5,0.5,0.6
60,1.4,1.6,1.6,1.6,1.8,1.7,1.0,1.0,1.0,3.2,1.1,1.0,1.2,1.5,1.3,1.5,1.8,0.9,0.8,0.4,1.7,2.2,0.9,1.5,0.8,2.4,4.3,2.1,1.2,0.5,0.9,0.5,0.5,0.5
61,1.3,1.5,1.4,1.4,1.7,1.6,0.8,0.6,0.6,3.2,0.9,0.7,1.2,1.4,0.9,1.7,1.4,0.8,0.8,0.5,1.5,1.9,0.9,1.2,0.8,2.1,2.2,2.1,1.0,0.6,0.5,0.6,0.6,0.5
62,1.4,1.6,1.3,1.6,1.9,1.5,0.9,0.8,1.1,3.0,1.1,0.9,1.3,1.5,1.0,1.8,1.1,1.6,1.0,0.9,1.4,2.1,0.7,0.6,0.7,2.3,3.3,2.2,1.4,0.5,0.5,0.5,0.5,0.6
63,1.4,1.5,1.4,1.5,1.8,1.7,0.9,1.1,1.5,2.9,1.2,1.0,1.5,1.4,1.1,1.6,1.1,0.9,1.0,0.5,2.3,2.3,0.8,1.2,0.7,2.2,3.2,2.0,0.9,0.6,0.7,0.6,0.5,0.6
64,1.4,1.5,1.7,1.5,1.6,1.6,0.8,2.0,1.3,2.1,0.9,0.7,1.2,1.3,0.7,1.8,0.7,1.3,1.0,0.7,1.9,2.0,0.9,1.2,0.8,2.5,4.7,2.2,2.5,0.5,0.7,0.5,0.4,0.5
65,1.5,1.6,1.5,1.6,1.9,1.6,1.2,1.1,0.7,3.1,1.1,1.1,1.3,1.4,0.9,1.6,1.3,0.7,0.9,0.6,1.7,2.6,0.9,1.4,0.8,2.4,5.3,1.9,1.1,0.5,0.7,0.5,0.5,0.5
66,1.3,1.5,1.6,1.4,1.7,1.6,0.9,1.0,0.7,2.7,1.1,1.0,1.4,1.5,1.1,1.8,1.1,0.8,0.9,0.7,1.5,2.0,0.8,1.1,0.7,2.0,3.2,1.8,1.2,0.6,0.8,0.5,0.6,0.5
67,1.4,1.5,1.3,1.6,1.6,1.7,0.9,0.9,0.8,3.4,1.1,1.0,1.2,1.3,1.0,1.4,1.3,0.8,0.9,0.5,1.9,2.1,0.8,1.1,0.8,2.3,4.4,1.9,1.0,0.5,0.7,0.5,0.4,0.6
68,1.3,1.5,1.5,1.5,1.4,1.8,0.9,0.7,0.9,2.9,1.1,1.0,1.3,1.5,0.9,1.7,1.5,0.9,0.8,0.6,1.5,2.0,0.7,0.7,0.7,1.9,3.7,1.5,1.1,0.5,0.9,0.4,0.4,0.4
69,1.3,1.5,1.5,1.5,1.7,1.7,0.8,0.9,1.8,3.0,1.1,1.1,1.2,1.4,1.2,1.5,1.4,0.8,0.8,0.6,1.2,2.2,0.7,1.0,0.7,2.0,3.7,1.7,1.3,0.5,0.7,0.5,0.4,0.6
70,1.4,1.6,1.4,1.6,1.9,1.6,0.8,0.6,0.8,3.1,1.0,1.0,1.1,1.4,1.0,1.6,1.2,1.0,0.9,0.6,1.6,2.2,0.8,1.3,0.7,2.3,3.9,2.0,1.9,0.5,0.5,0.5,0.4,0.6
71,1.4,1.6,1.8,1.6,1.7,1.6,0.8,0.9,0.9,3.8,1.0,1.0,1.0,1.2,0.8,1.5,1.0,1.1,0.9,0.5,1.9,2.3,0.7,0.8,0.7,2.4,3.7,2.2,1.2,0.6,0.5,0.6,0.5,0.7
72,1.3,1.4,1.5,1.5,1.6,1.5,0.9,0.6,0.8,3.3,1.1,1.0,1.2,1.2,0.7,1.5,1.0,1.1,0.9,0.7,1.4,2.0,0.7,1.2,0.7,2.0,3.3,1.7,1.2,0.5,0.4,0.5,0.5,0.6
73,1.4,1.6,1.7,1.5,1.8,1.5,1.0,0.6,1.3,3.1,1.1,1.0,1.3,1.5,0.9,1.6,1.6,1.3,0.9,0.6,1.7,2.3,0.8,1.5,0.7,2.1,4.9,1.6,1.0,0.5,0.6,0.5,0.5,0.5
74,1.3,1.5,1.4,1.6,1.7,1.5,1.1,0.7,0.9,3.3,1.2,1.2,1.2,1.2,0.9,1.4,1.1,1.5,1.1,0.6,2.2,2.1,0.8,1.5,0.7,2.3,4.5,1.9,0.5,0.5,0.6,0.5,0.4,0.5
75,1.4,1.5,1.1,1.7,1.8,1.6,0.9,0.5,0.7,2.9,1.2,1.2,1.2,1.4,0.9,1.6,1.4,0.9,0.9,0.8,1.4,2.2,0.9,1.2,0.9,2.1,4.3,1.7,1.2,0.5,0.7,0.4,0.4,0.4
76,1.5,1.6,1.6,1.6,1.8,1.8,0.9,0.6,0.9,3.4,1.1,1.0,1.3,1.5,1.1,1.8,1.3,0.8,1.0,0.7,1.7,2.8,0.7,1.0,0.7,2.1,4.2,1.7,0.8,0.5,0.7,0.5,0.4,0.5
77,1.4,1.6,1.4,1.6,1.8,1.7,1.0,1.0,1.2,3.0,1.2,1.1,1.2,1.5,1.0,1.9,1.0,1.0,1.0,0.6,2.1,2.3,0.8,1.1,0.8,2.3,4.0,2.0,0.9,0.6,0.8,0.5,0.5,0.6
78,1.3,1.5,1.5,1.5,1.6,1.5,0.9,0.6,1.0,3.6,1.2,1.1,1.2,1.2,0.9,1.4,1.1,0.9,0.9,0.8,1.1,1.7,1.0,1.4,0.9,2.2,4.2,1.9,1.4,0.5,0.7,0.5,0.4,0.6
79,1.4,1.5,1.7,1.4,1.7,1.6,1.0,0.7,1.2,2.8,1.3,1.3,1.5,1.4,1.5,1.5,1.1,1.1,1.1,0.9,1.7,2.3,0.7,0.7,0.7,1.8,3.0,1.6,1.2,0.6,0.8,0.6,0.6,0.6
80,1.5,1.7,1.7,1.7,1.8,1.6,1.1,0.8,1.6,3.8,1.2,1.2,1.3,1.5,1.2,1.7,1.2,1.4,1.4,1.3,1.7,2.1,0.8,1.4,0.7,2.1,2.7,2.0,1.3,0.5,0.7,0.5,0.5,0.5
81,1.6,1.8,2.5,1.9,1.8,1.6,1.1,0.6,1.1,3.5,1.3,1.3,1.3,1.5,1.2,1.8,0.9,0.9,1.3,1.0,2.0,2.5,0.9,0.7,0.9,2.8,3.8,2.7,1.5,0.5,0.8,0.5,0.4,0.5
82,1.4,1.6,2.5,1.5,1.7,1.5,1.2,0.8,1.2,3.1,1.3,1.3,1.4,1.5,1.2,1.7,1.3,0.7,1.2,1.0,1.7,2.6,0.9,0.8,0.9,2.0,3.9,1.7,0.9,0.5,0.6,0.5,0.4,0.5
83,1.4,1.6,1.4,1.7,1.9,1.4,1.1,0.6,1.4,3.2,1.3,1.3,1.4,1.6,1.2,1.8,1.4,0.6,0.9,0.4,2.3,2.4,0.9,1.6,0.8,1.8,4.5,1.3,1.5,0.4,0.5,0.4,0.4,0.4
84,1.4,1.6,1.6,1.7,1.8,1.3,0.9,0.6,1.1,3.4,1.1,1.0,1.3,1.4,1.1,1.6,0.9,0.7,1.2,1.0,1.7,2.4,0.7,1.0,0.6,2.1,3.8,1.8,1.2,0.5,0.5,0.5,0.4,0.6
85,1.4,1.6,2.0,1.8,1.6,1.5,1.0,0.7,1.2,3.4,1.1,1.1,1.0,1.4,1.2,1.6,1.1,0.8,1.0,0.9,1.5,2.7,0.9,1.2,0.9,1.9,3.9,1.5,1.1,0.5,0.8,0.4,0.3,0.5
86,1.4,1.6,2.1,1.6,1.8,1.6,1.0,0.6,2.0,3.1,1.1,1.0,1.2,1.5,1.1,1.7,1.3,0.7,0.9,0.7,1.6,2.2,0.9,1.0,0.9,2.7,4.8,2.3,1.2,0.4,0.4,0.4,0.4,0.4
87,1.4,1.6,1.8,1.6,1.7,1.4,1.2,0.6,1.1,3.7,1.0,1.0,1.0,1.4,1.1,1.6,1.2,1.2,1.0,0.9,1.2,2.2,0.9,1.0,0.9,2.0,4.6,1.5,1.4,0.5,0.3,0.5,0.5,0.5
88,1.4,1.6,1.2,1.6,1.9,1.6,1.3,1.1,1.4,3.8,1.4,1.4,1.6,1.4,1.2,1.5,1.3,0.9,1.3,1.1,1.7,2.2,0.7,1.4,0.6,2.0,3.6,1.7,1.1,0.5,0.4,0.5,0.5,0.5
